Unnamed: 0,CARNAME,ID,Make,Model,Body color,Type of finish,Interior color,Interior material,Body,Doors,Seats,VIN,Fuel,Transmission,Drive type,Power,El. motor power,CO2 emissions,Emission class,Battery type,AC charging time,DC charging time,Battery warranty (km),Range extender,Mileage,First registration,Condition,Consumption,Price,Currency,Tags,Engine capacity,Valid MOT until,Previous owners,Engine power,Battery capacity,Hybrid type,Electric range,Warranty until,Weight,Country of origin,Secondary drive,Energy efficiency,Full service history,Battery capacity1
717,kia ev9,61023990,Kia,EV9,Black,Metallic,Black interior,Part leather interior,SUV / offroad,4/5 doors,7,not published by the seller,Electric,Automatic,4x4,283 kW,,0 g/km,No emission class,,,,,,10 000 km,12/2023,Demonstration car,0 kWh/100km (combined),80199,EUR,Driver's seat with massage function; Ventilated front seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display,,,,,,,,,2664.0,Germany,,,,
718,mercedes-benz gle-63-amg,61023980,Mercedes-Benz,GLE 63 AMG,Black,Metallic,Black interior,Full leather interior,SUV / offroad,4/5 doors,,not published by the seller,Petrol,Automatic,4x4,450 kW,,285 g/km,Euro 6d,,,,,,10 627 km,4/2022,Demonstration car,12.5 l/100km (combined); 15.3 l/100km (city); 9.3 l/100km ,189799,EUR,Electric adjustable rear seats; Ventilated front seats; Heated rear seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Front seats with memory; Electric adjustable front seats; Adaptive cruise control,3 982 ccm,,1.0,,,,,,,,,,,
719,dacia sandero,61023994,Dacia,Sandero,Grey,,Other interior color,Other interior material,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,66 kW,,127 g/km,Euro 6,,,,,,10 km,12/2023,,5.7 l/100km (combined),23049,EUR,Apple CarPlay; Android auto; Bluetooth; Rain sensor; Light sensor; Side mirrors with electic adjustment; Start-stop system; USB; Front electric windows; Central locking with remote,999 ccm,,,,,,,,1047.0,,,,,
720,peugeot 2008,61023979,Peugeot,2008,Grey,Metallic,,,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,81 kW,,111 g/km,Euro 6,,,,,,25 213 km,10/2019,Used,4.9 l/100km (combined),15799,EUR,Automatic multi-zone A/C; Sport front seats; Rear parking camera; Electrically heated side mirrors; Electrically foldable side mirrors; On-board computer,1 199 ccm,,,,,,,12/2024,,,,,,
721,bmw 420,61023991,BMW,420,White,,Brown interior,,Cabriolet,2/3 doors,4,not published by the seller,Petrol,Automatic,4x2,135 kW,,152 g/km,Euro 6,,,,,,28 000 km,3/2022,Used,6.4 l/100km (combined),55399,EUR,Heated front seats; Heated steering wheel,1 998 ccm,,,,,,,,,,,,,
722,bmw 730,61023996,BMW,730,Grey,,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,155 kW,,178 g/km,Euro 5,,,,,,155 386 km,5/2012,Used,6.8 l/100km (combined); 6.8 l/100km (city); 6.8 l/100km ,18999,EUR,Electric adjustable front seats; Heated front seats; Keyless ignition; Voice control; Navigation system; Bluetooth; Xenon headlights; Leather; Automatic A/C; Rain sensor,2 993 ccm,,,,,,,,1940.0,Belgium,,,,
723,skoda octavia,61023983,Skoda,Octavia,Blue,,,,Station Wagon,4/5 doors,5,TMBJG7NE3K0217946,Diesel,Automatic,4x2,85 kW,,105 g/km,,,,,,,173 000 km,1/2019,Used,4 l/100km (combined),12149,EUR,Heated front seats; Internet connection; Voice control; Navigation system; Bluetooth; Automatic 2-zones air conditioning; Automatic lights; Rain sensor; Light sensor; Front collision warning system,1 598 ccm,,,,,,,,,Belgium,,,,
724,dacia duster,61023985,Dacia,Duster,Black,,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,96 kW,,138 g/km,Euro 6d-TEMP,,,,,,81 760 km,10/2019,Used,6 l/100km (combined); 6.1 l/100km (city); 6.1 l/100km ,16799,EUR,Keyless entry; Apple CarPlay; Android auto; Keyless ignition; Navigation system; Bluetooth; Automatic A/C; Light sensor; Blind spot assist; Hill-start assist,1 333 ccm,,,,,,,,1209.0,,,,,
725,volkswagen golf,61023981,Volkswagen,Golf,Black,Metallic,Black interior,Alcantara interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,,112 g/km,Euro 6,,,,,,89 982 km,11/2017,,4.9 l/100km (combined); 6.1 l/100km (city); 4.2 l/100km ,19549,EUR,Driver's seat with massage function; LED headlights; Adaptive cruise control; Heated front seats; WLAN/Wifi hotspot; Integrated music streaming; Voice control; Navigation system; Glare-free high beam headlights; Paddle shifters,1 498 ccm,,,,,,,,,,,,,
726,mercedes-benz cla-200-shooting-brake,61024000,Mercedes-Benz,CLA 200 Shooting Brake,Grey,Metallic,Black interior,Part leather interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,110 kW,,134 g/km,Euro 6,,,,,,14 000 km,6/2022,,5.1 l/100km (combined); 5.3 l/100km (city); 3.8 l/100km ,36199,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Panoramic roof; Navigation system; Glare-free high beam headlights,1 950 ccm,,1.0,,,,,,,,,,,
