CARNAME,ID,Make,Model,Body color,Interior color,Interior material,Body,Doors,Seats,Fuel,Transmission,Drive type,Power(kW),CO2 emissions(g/km),Emission class,Mileage(km),First registration,Condition,Consumption(l/100km or kWh/100km),Price(EUR),Previous owners,Engine capacity(ccm),Tags
audi q3,61186030,Audi,Q3,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,110,140,Euro 6,26854,01/05/2020,Used,6.6,32549,1,1498,Digital cockpit; Sport front seats; Bluetooth; Sport-suspension system; Automatic A/C; Rain sensor; Hill-start assist; Autom. dimming side mirros; Multifunctional steering wheel; Side mirrors with electic adjustment
bmw x5,61186034,BMW,X5,White,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x4,290,40,Euro 6,52047,01/09/2020,Used,1.7,74249,1,2998,Laser headlights; Ventilated front seats; Heated rear seats; Air suspension; Parking assist system self-steering; Digital cockpit; Keyless entry; Electric adjustable front seats; Harman/Kardon audio; Heated front seats
seat leon,61186021,Seat,Leon,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,110,121,No emission class,50,01/09/2023,New,5.3,31349,0,1498,Parking assist system self-steering; LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Navigation system; Heated steering wheel; Glare-free high beam headlights
bmw 225-active-tourer,61186031,BMW,225 Active Tourer,Blue,Black interior,Cloth interior,MPV,4/5 doors,5,Hybrid,Automatic,4x4,165,42,Euro 6,34800,01/05/2020,Used,1.9,23349,1,1499,Parking assist system self-steering; LED headlights; Heated front seats; Integrated music streaming; Navigation system; El. tailgate; Bluetooth; Automatic A/C; Rain sensor; Light sensor
audi a4,61186027,Audi,A4,White,Black interior,Other interior material,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,140,115,Euro 6,77602,01/11/2020,Used,4.4,32049,1,1968,Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Keyless ignition; Navigation system; Glare-free high beam headlights; El. tailgate; Easy open power tailgate; Paddle shifters
toyota yaris,61186037,Toyota,Yaris,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5,Hybrid,Automatic,4x2,85,96,Euro 6,28081,01/04/2021,Used,4.2,22049,1,1490,Adaptive cruise control; Keyless ignition; Traffic sign recognition; Rear parking camera; Automatic A/C; Automatic lights; Rain sensor; Lane assist; Hill-start assist; Front collision warning system
mercedes-benz eqa,61186025,Mercedes-Benz,EQA,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Electric,Automatic,4x4,215,0,Euro 6,5120,01/10/2022,Used,5.534431978,68849,0,1499,Heated front seats; Panoramic roof
renault captur,61186016,Renault,Captur,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,66,125,Euro 6,45185,01/12/2019,Used,5.5,15899,1,898,Keyless ignition; Navigation system; Automatic A/C; Automatic lights; Rain sensor; Hill-start assist; Autom. dimming side mirros; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights
smart fortwo,61186006,Smart,ForTwo,Red,Other interior color,Cloth interior,Hatchback,2/3 doors,2,Petrol,Automatic,4x2,52,94,Euro 6,32000,01/03/2016,Used,4.1,10849,2,999,Heated front seats; Bluetooth; Automatic A/C; Hill-start assist; Side mirrors with electic adjustment; Daytime running lights; On-board computer; Start-stop system; USB; Front electric windows
renault captur,61186015,Renault,Captur,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,67,122,Euro 6d-TEMP,2001,01/12/2023,Demonstration car,5.4,22799,1,999,LED headlights; Keyless entry; Heated front seats; Integrated music streaming; Keyless ignition; Voice control; Heated steering wheel; Traffic sign recognition; Bluetooth; Automatic A/C
