,Weight,Engine power,Emission class,Engine capacity,Condition,VIN,Full service history,Price,Power,CARNAME,Previous owners,ID,Battery type,Battery warranty (km),Interior color,Mileage,Make,Hybrid type,El. motor power,Model,Electric range,Battery capacity,First registration,Doors,Valid MOT until,Country of origin,Energy efficiency,CO2 emissions,Type of finish,Currency,Tags,AC charging time,Interior material,DC charging time,Secondary drive,Consumption,Body,Warranty until,Body color,Seats,Transmission,Fuel,Range extender,Battery capacity1,Drive type
1011,,,Euro 6,998 ccm,Used,not published by the seller,,9899,53 kW,peugeot 108,1,61021750,,,Black interior,77 152 km,Peugeot,,,108,,,12/2019,2/3 doors,,,,85 g/km,,EUR,Hill-start assist; Multifunctional steering wheel; Daytime running lights; On-board computer; Start-stop system; USB; AUX; Front electric windows,,,,,3.6 l/100km (combined),Hatchback,03/2024,Grey,4,Manual,Petrol,,,4x2
1012,,,No emission class,830 ccm,Used,not published by the seller,,43349,127 kW,mazda mx-30,,61021745,,,Other interior color,3 000 km,Mazda,,,MX-30,,,11/2023,4/5 doors,,,,21 g/km,,EUR,LED headlights; Keyless entry; Head-up display; Keyless ignition; Navigation system; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Lane assist,,Other interior material,,,,SUV / offroad,,,5,Automatic,Other fuel type,,,4x2
1013,,,Euro 6d-TEMP,998 ccm,Used,not published by the seller,,14699,49 kW,kia picanto,,61021736,,,Black interior,18 900 km,Kia,,,Picanto,,,4/2021,4/5 doors,,Germany,,101 g/km,Metallic,EUR,Heated front seats; Apple CarPlay; Android auto; Voice control; Navigation system; Heated steering wheel; Traffic sign recognition; Bluetooth; Rain sensor; Light sensor,,Cloth interior,,,4.4 l/100km (combined); 4.4 l/100km (city); 4.4 l/100km ,Hatchback,,Black,5,Manual,Petrol,,,4x2
1014,,,Euro 6,1 461 ccm,Used,not published by the seller,,14399,80 kW,dacia duster,,61021737,,,,98 250 km,Dacia,,,Duster,,,2/2018,4/5 doors,,,,115 g/km,,EUR,Navigation system; Bluetooth; Rear parking camera; USB; Alloy wheels,,,,,4.4 l/100km (combined); 4.5 l/100km (city); 4.4 l/100km ,SUV / offroad,,White,5,Manual,Diesel,,,4x2
1015,1384,,Euro 6d,1 998 ccm,Used,not published by the seller,,28899,90 kW,mazda 3,,61021753,,,Black interior,5 km,Mazda,Mild hybrid,,3,,,11/2023,4/5 doors,,Germany,,117 g/km,Metallic,EUR,LED headlights; Keyless entry; Heated front seats; Head-up display; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system; Traffic sign recognition,,Cloth interior,,,5.4 l/100km (combined),Sedans / saloons,,Red,5,Manual,Petrol,No,,4x2
1016,1524,110 kW,Euro 6d-TEMP,1 395 ccm,Used,not published by the seller,,36649,180 kW,volkswagen golf,,61021722,Lithium-ion (Li-ion),,Other interior color,31 161 km,Volkswagen,Plug-in hybrid,85 kW,Golf,,13 kWh,4/2021,4/5 doors,,,,106 g/km,,EUR,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Panoramic roof; Voice control,4 h,Velour interior,,,4.6 l/100km (combined),Hatchback,,Grey,5,Automatic,Hybrid,No,,4x2
1017,,,Euro 6d-TEMP,1 598 ccm,,not published by the seller,,16799,85 kW,audi a3,1,61021703,,,Black interior,71 000 km,Audi,,,A3,,,4/2019,4/5 doors,,,,115 g/km,Metallic,EUR,Bluetooth; Xenon headlights; Sport-suspension system; Rain sensor; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel; On-board computer,,Cloth interior,,,4.4 l/100km (combined); 5.2 l/100km (city); 4.1 l/100km ,Sedans / saloons,,Grey,5,Manual,Diesel,,,4x2
1018,,,Euro 6d,1 968 ccm,Used,not published by the seller,,37249,110 kW,volkswagen touran,1,61021729,,,Black interior,14 900 km,Volkswagen,,,Touran,,,2/2023,4/5 doors,02/2024,,,138 g/km,Metallic,EUR,LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system; Paddle shifters,,Cloth interior,,,4.9 l/100km (combined); 7.3 l/100km (city); 4.7 l/100km ,MPV,,Silver,7,Automatic,Diesel,,,4x2
1019,,,,1 490 ccm,New,JTDKBABB50A269032,,31799,85 kW,toyota yaris-cross,,61021718,,,,5 km,Toyota,,,Yaris Cross,,,1/2023,4/5 doors,,,,0 g/km,,EUR,LED headlights; Adaptive cruise control; Heated front seats; Android auto; Keyless ignition; Navigation system; Heated steering wheel; Rear cross traffic alert (RCTA); Sport front seats; Traffic sign recognition,,Part leather interior,,,,SUV / offroad,,Grey,5,Automatic,Hybrid,,,4x2
1020,,,Euro 6d,999 ccm,,not published by the seller,,18049,59 kW,skoda fabia,1,61021725,,,Black interior,100 km,Skoda,,,Fabia,,,3/2023,4/5 doors,03/2026,,,116 g/km,,EUR,LED headlights; Heated front seats; Apple CarPlay; Android auto; Navigation system; Lane assist; Side mirrors with electic adjustment; Electrically heated side mirrors; Start-stop system; Fatigue warning system,,Cloth interior,,,5.1 l/100km (combined); 6.1 l/100km (city); 4.5 l/100km ,Hatchback,,Blue,5,Manual,Petrol,,,4x2
1021,2253,,No emission class,,Used,not published by the seller,,93799,420 kW,porsche taycan,,61021713,Lithium-ion (Li-ion),160000 km,Other interior color,9 990 km,Porsche,,,Taycan,,93 kWh,1/2023,4/5 doors,,,,0 g/km,,EUR,Navigation system; Parking sensors,5 h,Other interior material,22 min,,21.3 kWh/100km (combined),Station Wagon,,White,4,Automatic,Electric,No,,4x4
1022,,,Euro 6c,1 950 ccm,,not published by the seller,,25449,143 kW,mercedes-benz e-220,3,61021702,,,Black interior,167 594 km,Mercedes-Benz,,,E 220,,,12/2016,4/5 doors,07/2025,,,112 g/km,,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Panoramic roof,,Alcantara interior,,,4.2 l/100km (combined); 4.5 l/100km (city); 3.9 l/100km ,Station Wagon,,Black,5,Automatic,Diesel,,,4x4
1023,,,Euro 6d,1 998 ccm,,not published by the seller,,23699,90 kW,mazda cx-30,1,61021730,,,Black interior,44 515 km,Mazda,Mild hybrid,,CX-30,,,8/2020,4/5 doors,08/2025,,,121 g/km,Metallic,EUR,LED headlights; Digital cockpit; Electric adjustable front seats; Adaptive cruise control; Bose audio; Heated front seats; Head-up display; Apple CarPlay; Android auto; Voice control,,Full leather interior,,,6.4 l/100km (combined); 6.4 l/100km (city); 4.7 l/100km ,SUV / offroad,,Grey,5,Manual,Petrol,No,,4x4
1024,1505,,Euro 6,1 499 ccm,,not published by the seller,,27199,75 kW,opel combo,,61021728,,,Other interior color,15 km,Opel,,,Combo,,,11/2022,4/5 doors,,Germany,,107 g/km,,EUR,Voice control; Navigation system; Heated steering wheel; Traffic sign recognition; Bluetooth; Light sensor; Lane assist; Hill-start assist; Parking sensors; Multifunctional steering wheel,,Cloth interior,,,4.1 l/100km (combined),Cargo VAN,,Blue,5,Manual,Diesel,,,4x2
1025,,,Euro 6,1 968 ccm,Used,not published by the seller,,29749,110 kW,seat leon,,61021720,,,Black interior,16 933 km,Seat,,,Leon,,,1/2022,4/5 doors,,,,105 g/km,,EUR,Digital cockpit; Automatic multi-zone A/C; Voice control; Bluetooth; Rear parking camera; Automatic lights; Parking sensors; USB,,,,,4 l/100km (combined),Hatchback,12/2024,Red,5,Automatic,Diesel,,,4x2
1026,,,Euro 6d,1 991 ccm,,not published by the seller,,28799,235 kW,mercedes-benz c-300,1,61021710,,,Black interior,47 500 km,Mercedes-Benz,Plug-in hybrid,,C 300,,,11/2020,4/5 doors,,,,143 g/km,,EUR,Parking assist system self-steering; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition,,Part leather interior,,,6.3 l/100km (combined),Station Wagon,,White,5,Automatic,Hybrid,No,,4x2
1027,,,,,,not published by the seller,,44399,150 kW,volkswagen id.5,,61021723,,,,18 250 km,Volkswagen,,,ID.5,,,8/2022,4/5 doors,,,,0 g/km,Metallic,EUR,,,,,,,SUV / offroad,,White,,Automatic,Electric,,,4x2
