,CARNAME,ID,Make,Model,Body color,Type of finish,Interior color,Interior material,Body,Doors,Seats,VIN,Fuel,Transmission,Drive type,Power,El. motor power,CO2 emissions,Emission class,Battery type,AC charging time,DC charging time,Battery warranty (km),Range extender,Mileage,First registration,Condition,Consumption,Price,Currency,Tags,Engine capacity,Valid MOT until,Previous owners,Engine power,Battery capacity,Hybrid type,Electric range,Warranty until,Weight,Country of origin,Secondary drive,Energy efficiency,Full service history
566,dacia sandero,61024210,Dacia,Sandero,Brown,,,Cloth interior,Hatchback,4/5 doors,5,UU1B5220162904129,Petrol,Manual,4x2,54 kW,,130 g/km,,,,,,,41 000 km,1/2019,Used,5.4 l/100km (combined),10149,EUR,Bluetooth; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors; Start-stop system; USB; Front electric windows,998 ccm,,,,,,,,,,,,
567,seat ateca,61024207,Seat,Ateca,Red,,Black interior,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,110 kW,,126 g/km,Euro 6d-TEMP,,,,,,24 550 km,8/2019,,5.5 l/100km (combined); 6.4 l/100km (city); 5 l/100km ,22749,EUR,Heated front seats; Voice control; Bluetooth; Automatic A/C; Front collision warning system; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel; On-board computer,1 498 ccm,,1,,,,,,,,,,
568,toyota yaris-cross,61024214,Toyota,Yaris Cross,,,Other interior color,Other interior material,SUV / offroad,4/5 doors,,not published by the seller,Petrol,Manual,4x2,92 kW,,130 g/km,No emission class,,,,,,1 km,8/2023,New,5.7 l/100km (combined); 5.7 l/100km (city); 5.7 l/100km ,22899,EUR,Digital cockpit; Traffic sign recognition; High beam assist; Light sensor; Blind spot assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights,1 490 ccm,,,,,,,,1085,,,,
569,volkswagen golf,61024206,Volkswagen,Golf,Grey,Metallic,Black interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,66 kW,,109 g/km,Euro 6,,,,,,135 500 km,1/2018,Used,4.1 l/100km (combined),15749,EUR,Navigation system; Bluetooth; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel; Automatic parking brake; On-board computer; Alarm; CD player; USB,1 598 ccm,,,,,,,,,,,,
570,renault captur,61024209,Renault,Captur,Grey,,,,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,66 kW,,111 g/km,Euro 6,,,,,,47 375 km,4/2019,Used,4.2 l/100km (combined),14799,EUR,Navigation system; Bluetooth; Rear parking camera; Automatic A/C; Automatic lights; Parking sensors; Electrically foldable side mirrors; USB; Front electric windows,1 461 ccm,,,,,,,06/2024,,,,,
571,peugeot 308,61024211,Peugeot,308,Blue,,,,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,130 kW,,120 g/km,Euro 6,,,,,,142 246 km,10/2018,Used,4.6 l/100km (combined),17949,EUR,,1 997 ccm,,,,,,,12/2024,,,,,
572,porsche macan,61024208,Porsche,Macan,Grey,Metallic,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,180 kW,,185 g/km,Euro 6d-TEMP,,,,,,143 648 km,5/2019,Used,8.1 l/100km (combined); 8.1 l/100km (city); 8.1 l/100km ,52199,EUR,Air suspension; LED headlights; Digital cockpit; Electric adjustable front seats; Navigation system; Paddle shifters; Sport front seats; Bluetooth; Leather; Rain sensor,1 984 ccm,,,,,,,,1870,,,,
573,volkswagen arteon,61024215,Volkswagen,Arteon,Gold,,,Full leather interior,Sedans / saloons,4/5 doors,5,WVWZZZ3HZJE507547,Diesel,Automatic,4x2,140 kW,,122 g/km,,,,,,,136 000 km,1/2017,Used,4.7 l/100km (combined),29549,EUR,LED headlights; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Navigation system; Paddle shifters; Sport front seats; Bluetooth; Leather; Automatic A/C,1 968 ccm,,,,,,,,,,,,
574,volkswagen t-roc,61024216,Volkswagen,T-Roc,Grey,Metallic,Black interior,,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,81 kW,,118 g/km,Euro 6,,,,,,6 550 km,3/2023,Used,6 l/100km (combined),25999,EUR,,999 ccm,,1,,,,,12/2025,,,,,
575,volkswagen id.5,61024190,Volkswagen,ID.5,Black,Metallic,,,SUV / offroad,4/5 doors,,not published by the seller,Electric,Automatic,4x4,221 kW,,0 g/km,,,,,,,2 000 km,5/2023,,,66049,EUR,,,,,,,,,,,,,,
576,fiat 500,61024199,Fiat,500,Black,Metallic,Other interior color,Other interior material,Hatchback,2/3 doors,4,not published by the seller,Electric,Automatic,4x2,70 kW,70 kW,0 g/km,No emission class,Lithium-ion (Li-ion),3 h,30 min,160000 km,No,16 049 km,12/2021,Used,,27049,EUR,Digital cockpit; Electric adjustable front seats; Adaptive cruise control; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system; Traffic sign recognition; Bluetooth,,,,,24 kWh,,,,1365,,,,
577,mazda 2,61024195,Mazda,2,Black,Metallic,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Hybrid,Manual,4x2,66 kW,,94 g/km,Euro 6d,,,,,,10 km,9/2023,New,4.8 l/100km (combined); 5.1 l/100km (city); 4 l/100km ,23899,EUR,LED headlights; Heated front seats; Apple CarPlay; Android auto; Heated steering wheel; Rear cross traffic alert (RCTA); Bluetooth; Automatic A/C; Rain sensor; Light sensor,1 496 ccm,,,,,,,,,,,,
578,volkswagen t-cross,61024200,Volkswagen,T-Cross,Black,,Black interior,,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,81 kW,,112 g/km,Euro 6,,,,,,31 239 km,5/2022,Used,6.3 l/100km (combined),25249,EUR,,999 ccm,,1,,,,,,,,,,
579,mini john-cooper-works-clubman,61024197,MINI,John Cooper Works Clubman,Grey,Metallic,Black interior,Part leather interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,140 kW,,127 g/km,Euro 6,,,,,,160 985 km,11/2017,,4.8 l/100km (combined); 5.3 l/100km (city); 4.5 l/100km ,16249,EUR,LED headlights; Keyless entry; Harman/Kardon audio; Keyless ignition; Paddle shifters; Sport front seats; Bluetooth; Automatic 2-zones air conditioning; Rain sensor; Light sensor,1 995 ccm,11/2024,1,,,,,,,,,,
580,alfa-romeo giulietta,61024203,Alfa Romeo,Giulietta,Blue,Metallic,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,88 kW,,125 g/km,Euro 6,,,,,,22 000 km,6/2019,,4.7 l/100km (combined); 5.8 l/100km (city); 4 l/100km ,19849,EUR,Electric adjustable front seats; Navigation system; Bluetooth; Automatic A/C; Rain sensor; Side mirrors with electic adjustment; Daytime running lights; Start-stop system; Front electric windows; Alloy wheels,1 598 ccm,,1,,,,,,,,,,
581,lancia ypsilon,61024198,Lancia,Ypsilon,White,,Other interior color,Other interior material,Hatchback,4/5 doors,4,not published by the seller,Hybrid,Manual,4x2,51 kW,,89 g/km,Euro 6,,,,,,1 km,7/2023,,4 l/100km (combined); 4 l/100km (city); 4 l/100km ,21499,EUR,Parking assist system self-steering; Apple CarPlay; Android auto; Bluetooth; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; On-board computer; USB; Front electric windows,999 ccm,,,,,,,,,,,,
582,peugeot 2008,61024191,Peugeot,2008,White,,,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,96 kW,,109 g/km,Euro 6,,,,,,500 km,11/2023,Used,6 l/100km (combined),36149,EUR,,1 199 ccm,,1,,,,,12/2025,,,,,
583,bmw 340,61024201,BMW,340,White,,Black interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,275 kW,,165 g/km,Euro 6,,,,,,48 350 km,1/2020,Used,7.8 l/100km (combined); 7.8 l/100km (city); 7.8 l/100km ,60499,EUR,LED headlights; Keyless entry; Head-up display; Keyless ignition; Paddle shifters; Blind spot assist; Daytime running lights; Leather steering wheel; Start-stop system; Alloy wheels,2 998 ccm,,,,,,,,1745,,,,
584,fiat 500,61024189,Fiat,500,Black,Metallic,Grey interior,Other interior material,Hatchback,2/3 doors,4,not published by the seller,Electric,Automatic,4x2,70 kW,70 kW,0 g/km,No emission class,Lithium-ion (Li-ion),3 h,30 min,160000 km,No,1 km,2/2023,,,30949,EUR,Automatic A/C,,,,,24 kWh,,,,,,,,
585,bmw x7,61024188,BMW,X7,Black,Metallic,Black interior,Full leather interior,SUV / offroad,4/5 doors,7,not published by the seller,Petrol,Automatic,4x4,390 kW,,280 g/km,Euro 6d,,,,,,50 000 km,8/2021,,12.3 l/100km (combined); 15.3 l/100km (city); 8.9 l/100km ,77449,EUR,Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Smart key; Electric adjustable front seats; Harman/Kardon audio; Heated front seats; Head-up display,4 395 ccm,,1,,,,,,,,,,
586,seat ateca,61024196,Seat,Ateca,Black,Metallic,Black interior,Alcantara interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,,129 g/km,Euro 6d-TEMP,,,,,,1 490 km,3/2023,Used,5.7 l/100km (combined),33449,EUR,LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Heated steering wheel; Paddle shifters; Sport front seats,1 498 ccm,,,,,,,,,Germany,,,
587,ford puma,61024194,Ford,Puma,Blue,,,Part leather interior,SUV / offroad,4/5 doors,5,WF02XXERK2MD14866,Petrol,Manual,4x2,92 kW,,106 g/km,,,,,,,15 400 km,1/2021,Used,5.7 l/100km (combined),23249,EUR,LED headlights; Keyless entry; Apple CarPlay; Android auto; Internet connection; Navigation system; Sport front seats; Traffic sign recognition; Bluetooth; Induction charging for smartphones,999 ccm,,,,,,,,,,,,
588,mini electric,61024162,MINI,Electric,,,Other interior color,Other interior material,Hatchback,2/3 doors,4,not published by the seller,Electric,Automatic,4x2,137 kW,,0 g/km,No emission class,,,,,,31 680 km,2/2022,Used,0 kWh/100km (combined),27249,EUR,LED headlights; Adaptive cruise control; Automatic 2-zones air conditioning; Induction charging for smartphones; Rain sensor; Light sensor; On-board computer; Alloy wheels,,,,,,,,,,,,,
589,kia ceed,61024187,Kia,Ceed,,,Other interior color,Other interior material,Station Wagon,4/5 doors,,not published by the seller,Hybrid,Automatic,4x2,103 kW,,28 g/km,No emission class,,,,,,1 km,9/2023,New,1.1 l/100km (combined); 1.1 l/100km (city); 1.1 l/100km ,37449,EUR,Digital cockpit; Heated front seats; Apple CarPlay; Android auto; Voice control; Navigation system; Heated steering wheel; El. tailgate; Traffic sign recognition; Bluetooth,1 580 ccm,,,,,,,,1297,Germany,,,
590,volkswagen touareg,61024165,Volkswagen,Touareg,White,,Black interior,Alcantara interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,180 kW,,191 g/km,Euro 5,,,,,,158 000 km,12/2013,,7.2 l/100km (combined); 8.4 l/100km (city); 6.5 l/100km ,24149,EUR,Heated rear seats; Air suspension; Front seats with memory; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Integrated music streaming; Panoramic roof; Voice control; Navigation system,2 967 ccm,,2,,,,,,,,,,
591,citroen c3,61024179,Citroen,C3,Beige,Metallic,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,75 kW,,96 g/km,Euro 6,,,,,,44 757 km,11/2020,,4.3 l/100km (combined); 4.4 l/100km (city); 3.1 l/100km ,14299,EUR,Automatic A/C; Multifunctional steering wheel; Side mirrors with electic adjustment; On-board computer; Start-stop system,1 499 ccm,,1,,,,,,,,,,
592,renault megane,61024164,Renault,Megane,Black,Metallic,Other interior color,Cloth interior,Sedans / saloons,4/5 doors,,not published by the seller,Electric,Automatic,4x2,96 kW,,0 g/km,No emission class,,,,,No,6 km,6/2023,Demonstration car,16.2 l/100km (combined),53749,EUR,LED headlights; Digital cockpit; Heated front seats; Android auto; Navigation system; Heated steering wheel; Paddle shifters; Traffic sign recognition; Bluetooth; Automatic 2-zones air conditioning,,06/2026,1,,60 kWh,,,,,,,,
593,ford tourneo-connect,61024182,Ford,Tourneo Connect,Black,Metallic,Black interior,Cloth interior,MPV/VAN,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,88 kW,,119 g/km,Euro 6,,,,,,51 123 km,11/2017,,4.6 l/100km (combined); 4.9 l/100km (city); 4.4 l/100km ,21099,EUR,Heated front seats; Panoramic roof; Voice control; Navigation system; Bluetooth; Automatic 2-zones air conditioning; Light sensor; Hill-start assist; Parking sensors; Multifunctional steering wheel,1 499 ccm,11/2024,1,,,,,,,,,,
594,volkswagen touran,61024183,Volkswagen,Touran,White,,Black interior,Alcantara interior,MPV,4/5 doors,7,not published by the seller,Petrol,Automatic,4x2,110 kW,,148 g/km,Euro 6,,,,,,20 km,11/2023,,5.6 l/100km (combined),39249,EUR,Driver's seat with massage function; LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Integrated music streaming; Keyless ignition; Navigation system; Sport front seats,1 498 ccm,,,,,,,,1530,,,,
595,bmw x5-m,61024186,BMW,X5 M,Black,Metallic,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,390 kW,,291 g/km,Euro 6d-TEMP,,,,,,5 500 km,8/2021,Used,12.8 l/100km (combined); 10.5 l/100km (city); 10.5 l/100km ,90149,EUR,Laser headlights; Parking assist system self-steering; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay; WLAN/Wifi hotspot,4 395 ccm,,,,,,,,,Germany,,,
596,mercedes-benz c-43-amg,61024180,Mercedes-Benz,C 43 AMG,Grey,,Black interior,Full leather interior,Coupe,2/3 doors,4,not published by the seller,Petrol,Automatic,4x4,270 kW,,178 g/km,No emission class,,,,,,47 300 km,5/2018,Used,7.8 l/100km (combined); 7.8 l/100km (city); 7.8 l/100km ,53299,EUR,LED headlights; Keyless entry; Adaptive cruise control; Burmester audio; Heated front seats; Keyless ignition; Panoramic roof; Navigation system; Paddle shifters; Sport front seats,2 996 ccm,,,,,,,,1735,,,,
597,renault kadjar,61024185,Renault,Kadjar,Red,,,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,103 kW,,135 g/km,Euro 6,,,,,,24 184 km,5/2022,Used,5.9 l/100km (combined),24199,EUR,Automatic multi-zone A/C; Traffic sign recognition; Rear parking camera; Automatic lights; Lane assist; Autom. dimming side mirros; Electrically heated side mirrors; Automatic parking brake; Alloy wheels,1 332 ccm,,1,,,,,12/2024,,,,,
598,toyota supra,61024172,Toyota,Supra,,,Other interior color,Other interior material,Coupe,2/3 doors,,not published by the seller,Petrol,Manual,4x2,250 kW,,170 g/km,No emission class,,,,,,1 km,8/2023,New,7.5 l/100km (combined); 8.8 l/100km (city); 8.8 l/100km ,71699,EUR,LED headlights; Heated front seats; Navigation system; Bluetooth; Automatic A/C; Rain sensor; Lane assist; Side mirrors with electic adjustment; Daytime running lights; USB,2 998 ccm,,,,,,,,1477,,,,
599,peugeot 308,61024170,Peugeot,308,Grey,Metallic,Black interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,96 kW,,94 g/km,Euro 6,,,,,,51 067 km,5/2020,Used,3.5 l/100km (combined),19299,EUR,Navigation system; Heated steering wheel; El. tailgate; Bluetooth; Automatic 2-zones air conditioning; Automatic lights; Rain sensor; Hill-start assist; Autom. dimming side mirros; Multifunctional steering wheel,1 499 ccm,,,,,,,06/2024,,,,,
600,volkswagen touran,61024171,Volkswagen,Touran,,,Other interior color,Other interior material,MPV,4/5 doors,,not published by the seller,Diesel,Manual,4x2,90 kW,,114 g/km,No emission class,,,,,,1 km,9/2023,New,4.3 l/100km (combined); 4.3 l/100km (city); 4.3 l/100km ,35999,EUR,Digital cockpit; Keyless ignition; Navigation system; Third row seats; Bluetooth; Rain sensor; Lane assist; Hill-start assist; Front collision warning system; Multifunctional steering wheel,1 998 ccm,,,,,,,,1589,Germany,,,
601,hyundai santa-fe,61024166,Hyundai,Santa Fe,White,Metallic,Beige interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x4,169 kW,,132 g/km,Euro 6d,,,,,No,25 000 km,4/2022,Demonstration car,5.8 l/100km (combined),51649,EUR,Ventilated front seats; Heated rear seats; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay,1 598 ccm,04/2025,1,,,Plug-in hybrid,,,,,,,
602,seat leon,61024174,Seat,Leon,,,Other interior color,Other interior material,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,81 kW,,122 g/km,Euro 6d,,,,,,10 km,9/2023,New,4.6 l/100km (combined),26749,EUR,LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Keyless ignition; Heated steering wheel; Bluetooth; High beam assist; Rain sensor; Light sensor,999 ccm,,,,,,,,,,,,
603,volkswagen up!,61024161,Volkswagen,up!,White,,Grey interior,Cloth interior,Hatchback,4/5 doors,4,not published by the seller,Petrol,Manual,4x2,44 kW,,95 g/km,No emission class,,,,,,57 100 km,12/2018,,4.2 l/100km (combined); 4.8 l/100km (city); 3.8 l/100km ,11299,EUR,Bluetooth; Front collision warning system; Daytime running lights; On-board computer; Start-stop system; USB; AUX; Front electric windows,999 ccm,,2,,,,,,,,,,
604,toyota corolla,61024151,Toyota,Corolla,Silver,Metallic,Black interior,Part leather interior,Station Wagon,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,144 kW,,89 g/km,No emission class,,,,,No,50 km,9/2023,New,4.7 l/100km (combined),36849,EUR,LED headlights; Digital cockpit; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Voice control; Navigation system; Heated steering wheel,1 987 ccm,,,144 kW,,Full hybrid,,,,,,,
605,fiat 500,61024155,Fiat,500,Black,,Beige interior,Full leather interior,Hatchback,2/3 doors,4,not published by the seller,Electric,Automatic,4x2,70 kW,70 kW,0 g/km,No emission class,Lithium-ion (Li-ion),3 h,30 min,160000 km,No,6 000 km,6/2022,Used,,27849,EUR,LED headlights; Adaptive cruise control; Apple CarPlay; Android auto; Navigation system; Traffic sign recognition; Bluetooth; Leather; Rain sensor; Light sensor,,,,,24 kWh,,,,1395,,,,
606,ferrari 812,61024153,Ferrari,812,Green,,Other interior color,Other interior material,Cabriolet,2/3 doors,2,not published by the seller,Petrol,Automatic,4x2,588 kW,,356 g/km,No emission class,,,,,,1 400 km,6/2023,Demonstration car,14.9 l/100km (combined); 14.9 l/100km (city); 14.9 l/100km ,551399,EUR,,6 496 ccm,,,,,,,,1657,Spain,,,
607,ford mondeo,61024157,Ford,Mondeo,Grey,Metallic,Other interior color,Other interior material,Station Wagon,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,138 kW,,101 g/km,Euro 6,,,,,,84 387 km,12/2019,Used,4.4 l/100km (combined); 4.4 l/100km (city); 4.4 l/100km ,20099,EUR,Parking assist system self-steering; LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Navigation system; El. tailgate; Bluetooth,1 999 ccm,,,,,,,,1616,Netherlands,,,
608,opel movano,61024146,Opel,Movano,Grey,Metallic,,,Cargo VAN,4/5 doors,3,not published by the seller,Diesel,Manual,4x2,121 kW,,222 g/km,Euro 6,,,,,,100 km,6/2023,Used,8.4 l/100km (combined),35099,EUR,Navigation system; Rear parking camera; Automatic A/C; Automatic lights; Rain sensor; Hill-start assist; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors; Leather steering wheel,2 179 ccm,,1,,,,,12/2025,,,,,
609,volkswagen tiguan,61024148,Volkswagen,Tiguan,Silver,Metallic,Other interior color,Alcantara interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,110 kW,,119 g/km,Euro 6d,,,,,,10 km,9/2023,New,4.5 l/100km (combined); 5.8 l/100km (city); 4.5 l/100km ,55349,EUR,Heated rear seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Harman/Kardon audio; Heated front seats; Head-up display; Smartphone mirroring,1 968 ccm,,,,,,,,,,,,
610,toyota aygo-x,61024158,Toyota,Aygo X,Blue,,,,SUV / offroad,4/5 doors,4,JTDAGNAC800006411,Petrol,Manual,4x2,53 kW,,0 g/km,,,,,,,1 732 km,1/2022,Used,,17849,EUR,LED headlights; Apple CarPlay; Android auto; Keyless ignition; Traffic sign recognition; Bluetooth; Automatic A/C; Automatic lights; High beam assist; Rain sensor,998 ccm,,,,,,,,,,,,
611,dacia jogger,61024147,Dacia,Jogger,Brown,Metallic,Grey interior,Cloth interior,MPV,4/5 doors,7,not published by the seller,Petrol,Manual,4x2,81 kW,,0 g/km,Euro 6d-TEMP,,,,,,20 km,9/2023,New,,25049,EUR,LED headlights; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Third row seats; Bluetooth; Automatic A/C; Rain sensor; Light sensor,999 ccm,,,,,,,,1280,,,,
612,peugeot 208,61024152,Peugeot,208,Grey,,Black interior,,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,74 kW,,99 g/km,Euro 6,,,,,,27 600 km,3/2021,Used,5.5 l/100km (combined),22099,EUR,Automatic A/C; Automatic lights; Rain sensor; Daytime running lights; Front electric windows,1 199 ccm,,,,,,,12/2024,,,,,
613,audi q3,61024156,Audi,Q3,White,,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,140 kW,,166 g/km,Euro 6d,,,,,,10 km,11/2023,,7.3 l/100km (combined),55999,EUR,LED headlights; Digital cockpit; Heated front seats; Voice control; Navigation system; El. tailgate; Traffic sign recognition; Bluetooth; Automatic 2-zones air conditioning; Sport-suspension system,1 984 ccm,,,,,,,,1695,,,,
614,fiat doblo,61024159,Fiat,Doblo,Grey,,Other interior color,Cloth interior,Cargo VAN,4/5 doors,3,not published by the seller,Diesel,Manual,4x2,96 kW,,0 g/km,Euro 6,,,,,,15 km,9/2023,New,,30249,EUR,Heated front seats; Apple CarPlay; Android auto; Bluetooth; Automatic A/C; Light sensor; Hill-start assist; Sport package; Side mirrors with electic adjustment; Daytime running lights,1 499 ccm,,,,,,,,,Germany,,,
615,kia stonic,61024132,Kia,Stonic,Red,Metallic,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,62 kW,,116 g/km,Euro 6,,,,,,15 km,9/2023,New,5.1 l/100km (combined),22349,EUR,Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system; Heated steering wheel; Bluetooth; Automatic A/C; High beam assist,1 197 ccm,,,,,,,,,,,,
616,citroen c3,61024139,Citroen,C3,Beige,,Other interior color,Cloth interior,Hatchback,4/5 doors,,not published by the seller,Petrol,Manual,4x2,61 kW,,97 g/km,No emission class,,,,,,1 km,9/2023,New,4.2 l/100km (combined); 4.2 l/100km (city); 4.2 l/100km ,18749,EUR,LED headlights; Heated front seats; Smartphone mirroring; Apple CarPlay; Android auto; Bluetooth; Automatic A/C; Rain sensor; Multifunctional steering wheel; Side mirrors with electic adjustment,1 199 ccm,,,,,,,,1055,Germany,,,
617,audi q3,61024131,Audi,Q3,Black,Metallic,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,,135 g/km,Euro 6d,,,,,,20 km,9/2023,New,6.5 l/100km (combined); 6.6 l/100km (city); 6.6 l/100km ,45099,EUR,LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Navigation system; El. tailgate; Paddle shifters,1 498 ccm,,,,,,,,,,,,
618,volkswagen golf,61024145,Volkswagen,Golf,Grey,,Black interior,,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,180 kW,,140 g/km,Euro 6,,,,,,93 490 km,5/2019,Used,6.2 l/100km (combined); 7.3 l/100km (city); 5.5 l/100km ,28349,EUR,Paddle shifters; Sport front seats; Rear parking camera; Automatic A/C; Parking sensors; Automatic parking brake; Start-stop system,1 984 ccm,,,,,,,06/2024,,,,,
619,audi a3,61024142,Audi,A3,White,,Other interior color,Cloth interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,,115 g/km,Euro 6,,,,,,2 km,6/2023,Used,5.6 l/100km (combined),38749,EUR,Parking assist system self-steering; LED headlights; Heated front seats; Apple CarPlay; Android auto; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Lane assist,1 498 ccm,,,,,,,,1395,,,,
620,mazda 6,61024141,Mazda,6,Blue,Metallic,Black interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,135 kW,,126 g/km,Euro 6d-TEMP,,,,,,55 000 km,10/2019,,4.8 l/100km (combined); 5.8 l/100km (city); 4 l/100km ,25749,EUR,LED headlights; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay; Android auto; Voice control; Navigation system; Heated steering wheel; Bluetooth,2 191 ccm,,1,,,,,,,,,,
621,ford mustang,61024137,Ford,Mustang,,,Black interior,Full leather interior,Coupe,2/3 doors,4,not published by the seller,Petrol,Automatic,4x2,331 kW,,270 g/km,Euro 6,,,,,,30 500 km,4/2019,,12.1 l/100km (combined); 18 l/100km (city); 8 l/100km ,46049,EUR,Ventilated front seats; Keyless entry; Electric adjustable front seats; Heated front seats; Android auto; Keyless ignition; Voice control; Navigation system; Sport front seats; Bluetooth,5 038 ccm,04/2024,2,,,,,,,,,,
622,bmw 850,61024135,BMW,850,Blue,Metallic,Other interior color,Full leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,390 kW,,0 g/km,Euro 6,,,,,,37 534 km,10/2022,Used,,87099,EUR,LED headlights; Smart key; Electric adjustable front seats; Heated front seats; Head-up display; Navigation system; Bluetooth; Leather; Automatic A/C; Rain sensor,4 395 ccm,,,,,,,,1995,,,,
623,hyundai tucson,61024134,Hyundai,Tucson,White,,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x4,195 kW,67 kW,119 g/km,Euro 6d,Lithium polymer (Li-pol),2 h,,160000 km,No,20 km,10/2023,,4.5 l/100km (combined),47899,EUR,Ventilated front seats; Heated rear seats; LED headlights; Keyless entry; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Panoramic roof,1 598 ccm,10/2025,1,133 kW,14 kWh,Plug-in hybrid,,,,,,,
624,audi a1,61024140,Audi,A1,Black,Metallic,Grey interior,Part leather interior,Hatchback,4/5 doors,,not published by the seller,Petrol,Automatic,4x2,152 kW,,125 g/km,Euro 6,,,,,,0 km,9/2023,New,5.5 l/100km (combined); 7.3 l/100km (city); 4.4 l/100km ,39649,EUR,LED headlights; Digital cockpit; Adaptive cruise control; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Bluetooth; Automatic 2-zones air conditioning; Sport-suspension system,1 984 ccm,,,,,,,,,,,,
625,peugeot 208,61024136,Peugeot,208,Blue,Metallic,,,Hatchback,,,not published by the seller,Electric,Automatic,4x2,100 kW,,0 g/km,,,,,,,38 300 km,9/2020,,,24549,EUR,Panoramic roof; Bluetooth; Rear parking camera; Automatic A/C; Multifunctional steering wheel; Leather steering wheel; CD player; Front electric windows; Rear electric windows; Alloy wheels,,,,,,,,,,,,,
