CARNAME,Make,Model,Body color,Interior color,Interior material,Body,Doors,Seats,Fuel,Transmission,Drive type,Power(kW),CO2 emissions(g/km),Emission class,Mileage(km),First registration,Condition,Consumption(l/100km or kWh/100km),Price(EUR),Tags,Engine capacity(ccm),Previous owners
volkswagen golf,Volkswagen,Golf,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Hybrid,Automatic,4x2,150,106,Euro 6d,45000,12/2020,Used,4.6,34249,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Keyless ignition; Night vision assist,1395.0,0.0
audi q2,Audi,Q2,Grey,Black interior,Part leather interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x2,110,121,Euro 6d,0,9/2023,New,6.1,51099,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Keyless ignition; Panoramic roof; Voice control; Navigation system; Glare-free high beam headlights,1498.0,0.0
audi a4,Audi,A4,Red,Black interior,Cloth interior,Station Wagon,4/5 doors,5.0,Diesel,Automatic,4x4,120,134,Euro 6d-TEMP,56800,8/2020,Used,5.1,28299,Driver's seat with massage function; Adaptive cruise control; Heated front seats; WLAN/Wifi hotspot; Integrated music streaming; Voice control; Navigation system; Traffic sign recognition; Bluetooth; Induction charging for smartphones,1968.0,3.0
citroen c3,Citroen,C3,Beige,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Diesel,Manual,4x2,75,96,Euro 6,78582,3/2021,Used,4.3,13399,Bluetooth; Daytime running lights; On-board computer; USB,1499.0,0.0
cupra born,Cupra,Born,Grey,Grey interior,Part leather interior,Hatchback,4/5 doors,5.0,Electric,Automatic,4x2,150,0,No emission class,5,12/2022,Demonstration car,0.0,37399,LED headlights; Digital cockpit; Keyless entry; Keyless ignition; Voice control; Sport front seats; Bluetooth; Rain sensor; Light sensor; Lane assist,1499.0,0.0
audi q4,Audi,Q4,Blue,Other interior color,Part leather interior,SUV / offroad,4/5 doors,5.0,Electric,Automatic,4x2,125,0,No emission class,202,6/2023,Used,0.0,68299,Parking assist system self-steering; LED headlights; Digital cockpit; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Navigation system; Heated steering wheel; El. tailgate,1499.0,0.0
audi q2,Audi,Q2,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x2,110,121,Euro 6,41000,12/2019,Used,6.0,28799,Digital cockpit; Adaptive cruise control; Heated front seats; Voice control; Navigation system; El. tailgate; Sport front seats; Bluetooth; Automatic A/C; Rain sensor,1498.0,0.0
mercedes-benz e-200,Mercedes-Benz,E 200,Black,Black interior,Other interior material,Coupe,2/3 doors,4.0,Petrol,Automatic,4x2,135,138,Euro 6,35900,7/2017,Used,6.2,32549,LED headlights; Digital cockpit; Heated front seats; Integrated music streaming; Voice control; Navigation system; Paddle shifters; Sport front seats; Traffic sign recognition; Bluetooth,1991.0,2.0
citroen c4-picasso,Citroen,C4 Picasso,Grey,Black interior,Cloth interior,MPV,4/5 doors,5.0,Petrol,Manual,4x2,96,115,Euro 6,96619,11/2017,Used,4.8,17799,Automatic multi-zone A/C; Automatic lights; Rain sensor; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors; Leather steering wheel; Electrically foldable side mirrors,1199.0,0.0
mercedes-benz gls-450,Mercedes-Benz,GLS 450,Green,Black interior,Full leather interior,SUV / offroad,4/5 doors,7.0,Petrol,Automatic,4x4,280,247,Euro 6d-TEMP,15,1/2023,New,10.5,184399,Ventilated front seats; Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Burmester audio; Heated front seats,2999.0,0.0
citroen berlingo,Citroen,Berlingo,Grey,Black interior,Other interior material,Cargo VAN,4/5 doors,3.0,Diesel,Manual,4x2,74,112,No emission class,102384,7/2017,Used,4.3,13199,Navigation system; Bluetooth; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; On-board computer; Start-stop system; USB,1560.0,0.0
nissan qashqai,Nissan,Qashqai,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Hybrid,Automatic,4x2,140,120,Euro 6,16900,1/2023,Used,4.6,37749,Adaptive cruise control; Heated front seats; Head-up display; Keyless ignition; Automatic multi-zone A/C; Navigation system; Heated steering wheel; Traffic sign recognition; Bluetooth; Adaptive lighting,1497.0,1.0
peugeot 2008,Peugeot,2008,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Manual,4x2,81,103,Euro 6,40359,12/2017,Used,4.3,15299,Navigation system; Bluetooth; Automatic A/C; Rain sensor; Hill-start assist; Multifunctional steering wheel; Leather steering wheel; Start-stop system; Alloy wheels,1199.0,0.0
peugeot 208,Peugeot,208,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Manual,4x2,55,94,Euro 6,24131,8/2022,Used,5.3,16899,Head-up display; Traffic sign recognition; Automatic lights; Rain sensor; Lane assist; Hill-start assist; Front collision warning system; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights,1199.0,1.0
peugeot 3008,Peugeot,3008,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Diesel,Automatic,4x2,96,104,Euro 6,7188,4/2023,Used,5.5,36699,Heated front seats; Start-stop system; Ambient lighting,1499.0,1.0
opel vivaro,Opel,Vivaro,White,Black interior,Cloth interior,Cargo VAN,4/5 doors,2.0,Diesel,Manual,4x2,107,199,Euro 6,10,12/2023,Used,7.5,44849,Traffic sign recognition; Automatic lights; Rain sensor; Lane assist; Hill-start assist; Front collision warning system; Multifunctional steering wheel; Side mirrors with electic adjustment; Electrically heated side mirrors; Start-stop system,1997.0,1.0
audi a4,Audi,A4,Blue,Grey interior,Part leather interior,Station Wagon,4/5 doors,5.0,Diesel,Automatic,4x4,150,120,Euro 6,10,8/2023,New,4.6,52449,LED headlights; Heated front seats; Navigation system; Heated steering wheel; Sport front seats; Traffic sign recognition; Bluetooth; Sport-suspension system; Automatic A/C; Rain sensor,1968.0,0.0
mercedes-benz citan,Mercedes-Benz,Citan,White,Other interior color,Cloth interior,Cargo VAN,4/5 doors,2.0,Diesel,Manual,4x2,55,116,Euro 6,81011,10/2019,Used,4.5,14849,Hill-start assist; Side mirrors with electic adjustment; Alarm; Start-stop system; Front electric windows; Central locking with remote,1461.0,0.0
hyundai santa-fe,Hyundai,Santa Fe,Black,Grey interior,Full leather interior,SUV / offroad,4/5 doors,5.0,Hybrid,Automatic,4x4,169,132,Euro 6d,21674,10/2021,Used,5.8,49499,Ventilated front seats; Heated rear seats; Parking assist system self-steering; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay,1598.0,1.0
opel combo,Opel,Combo,Black,Black interior,Cloth interior,Cargo VAN,4/5 doors,5.0,Diesel,Manual,4x2,96,111,Euro 6c,38600,11/2020,Used,4.2,28149,Heated front seats; Head-up display; Apple CarPlay; Android auto; Panoramic roof; Navigation system; Heated steering wheel; Traffic sign recognition; Bluetooth; Automatic 2-zones air conditioning,1499.0,2.0
mercedes-benz gla-250,Mercedes-Benz,GLA 250,Silver,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Hybrid,Automatic,4x2,160,0,Euro 6d-TEMP,3800,2/2022,Used,4.6,45399,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Panoramic roof; Voice control,1332.0,1.0
volkswagen touran,Volkswagen,Touran,Grey,Other interior color,Alcantara interior,MPV,4/5 doors,7.0,Diesel,Manual,4x2,110,123,Euro 6d-TEMP,115450,8/2019,Used,4.7,24349,LED headlights; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system; Third row seats; Bluetooth,1968.0,0.0
nissan qashqai,Nissan,Qashqai,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5.0,Petrol,Manual,4x2,103,121,No emission class,42123,8/2020,Used,5.7,19949,Bluetooth; Automatic A/C; High beam assist; Rain sensor; Multifunctional steering wheel; CD player; USB; Front electric windows; Alloy wheels,1332.0,0.0
renault captur,Renault,Captur,White,Grey interior,Part leather interior,SUV / offroad,4/5 doors,5.0,Petrol,Manual,4x2,103,121,Euro 6d-TEMP,10,4/2022,Used,5.9,24549,LED headlights; Digital cockpit; Keyless entry; Apple CarPlay; Android auto; Voice control; Navigation system; Traffic sign recognition; Bluetooth; Automatic A/C,1332.0,0.0
kia picanto,Kia,Picanto,Grey,Other interior color,Other interior material,Hatchback,4/5 doors,5.0,Petrol,Manual,4x2,63,104,No emission class,125,11/2023,Used,5.5,18899,LED headlights; Keyless entry; Keyless ignition; Voice control; Navigation system; Automatic A/C; Light sensor; Hill-start assist; Multifunctional steering wheel; Daytime running lights,1197.0,0.0
citroen c4-x,Citroen,C4 X,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Diesel,Automatic,4x2,96,0,Euro 6,9393,6/2023,Used,0.0,29899,LED headlights; Keyless entry; Adaptive cruise control; Apple CarPlay; Android auto; Keyless ignition; Navigation system; Paddle shifters; Traffic sign recognition; Bluetooth,1499.0,0.0
audi sq5,Audi,SQ5,Black,Black interior,Alcantara interior,SUV / offroad,4/5 doors,5.0,Diesel,Automatic,4x4,255,172,Euro 6,77900,8/2019,Used,6.6,50949,Driver's seat with massage function; Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display,2967.0,2.0
mercedes-benz gle-350,Mercedes-Benz,GLE 350,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Hybrid,Automatic,4x4,235,0,Euro 6,43540,10/2020,Used,4.6,63999,LED headlights; Keyless entry; Front seats with memory; Electric adjustable front seats; Adaptive cruise control; Keyless ignition; Paddle shifters; Bluetooth; Induction charging for smartphones; Blind spot assist,1950.0,0.0
mini cooper-s,MINI,Cooper S,Grey,Other interior color,Part leather interior,Hatchback,2/3 doors,5.0,Petrol,Automatic,4x2,141,133,Euro 6,55452,7/2018,Used,5.7,26199,LED headlights; Harman/Kardon audio; Heated front seats; Head-up display; Navigation system; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Hill-start assist,1998.0,0.0
opel crossland,Opel,Crossland,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5.0,Petrol,Manual,4x2,96,107,Euro 6,66980,6/2019,Used,4.7,15749,Navigation system; Bluetooth; Automatic A/C; Rain sensor; Multifunctional steering wheel; Daytime running lights; On-board computer; Alloy wheels,1199.0,1.0
citroen c3,Citroen,C3,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Automatic,4x2,82,120,Euro 6,70220,4/2021,Used,5.9,15349,LED headlights; Heated front seats; Apple CarPlay; Android auto; Traffic sign recognition; Automatic A/C; Rain sensor; Lane assist; Hill-start assist; Front collision warning system,1199.0,0.0
hyundai i10,Hyundai,i10,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Automatic,4x2,49,97,Euro 6,0,1/2023,New,4.2,18299,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control,998.0,0.0
renault captur,Renault,Captur,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Manual,4x2,67,122,Euro 6d-TEMP,20572,1/2023,Used,5.4,18749,LED headlights; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system; Traffic sign recognition; Bluetooth; Rain sensor,999.0,0.0
volvo xc40,Volvo,XC40,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Diesel,Manual,4x2,110,127,Euro 6,114860,10/2018,Used,4.8,24699,Front seats with memory; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Keyless ignition; Automatic multi-zone A/C; Panoramic roof; Voice control; Navigation system; Traffic sign recognition,1969.0,0.0
opel astra,Opel,Astra,Silver,Other interior color,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Automatic,4x2,110,127,Euro 6,3020,8/2019,Used,5.5,22749,LED headlights; Heated front seats; Integrated music streaming; Voice control; Navigation system; Heated steering wheel; Traffic sign recognition; Bluetooth; Automatic 2-zones air conditioning; Rain sensor,1399.0,2.0
audi q2,Audi,Q2,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5.0,Diesel,Manual,4x2,85,122,No emission class,99544,10/2019,Used,4.7,24199,Bluetooth; Rain sensor; Multifunctional steering wheel; Start-stop system; CD player; Front electric windows; Alloy wheels,1598.0,0.0
peugeot expert,Peugeot,Expert,White,Other interior color,Part leather interior,Cargo VAN,4/5 doors,3.0,Diesel,Manual,4x2,90,144,Euro 6d,89500,8/2020,Used,5.5,21499,Voice control; Bluetooth; Rain sensor; Light sensor; Hill-start assist; Parking sensors; Side mirrors with electic adjustment; Daytime running lights; On-board computer; Start-stop system,1997.0,1.0
opel combo,Opel,Combo,Blue,Other interior color,Other interior material,Cargo VAN,4/5 doors,5.0,Petrol,Automatic,4x2,96,119,No emission class,500,11/2022,Demonstration car,5.2,33549,Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Navigation system; Heated steering wheel; Traffic sign recognition; Bluetooth; Automatic A/C; High beam assist,1200.0,0.0
ford focus,Ford,Focus,White,Other interior color,Cloth interior,Sedans / saloons,4/5 doors,5.0,Diesel,Automatic,4x2,88,101,Euro 6d-TEMP,87900,12/2019,Used,3.9,19399,LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; WLAN/Wifi hotspot; Keyless ignition; Panoramic roof; Voice control; Navigation system; Heated steering wheel,1499.0,1.0
citroen c4-picasso,Citroen,C4 Picasso,Beige,Black interior,Cloth interior,MPV,4/5 doors,5.0,Diesel,Automatic,4x2,88,103,Euro 6,80073,3/2018,Used,3.9,16849,Automatic multi-zone A/C; Automatic lights; Rain sensor; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors; Leather steering wheel; Electrically foldable side mirrors,1560.0,0.0
audi q3,Audi,Q3,Grey,Black interior,Part leather interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x2,110,135,Euro 6,59000,10/2020,Used,6.5,37249,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Keyless ignition; Voice control; Navigation system; El. tailgate; Sport front seats,1498.0,1.0
audi sq5,Audi,SQ5,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,Diesel,Automatic,4x4,251,185,Euro 6d,10,10/2023,New,7.0,77849,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition,2967.0,0.0
audi q4,Audi,Q4,Silver,Other interior color,Part leather interior,SUV / offroad,4/5 doors,5.0,Electric,Manual,4x4,195,0,No emission class,5000,5/2023,Used,0.0,70249,LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Navigation system; Heated steering wheel; El. tailgate; Paddle shifters; Sport front seats; Traffic sign recognition,1499.0,0.0
opel combo,Opel,Combo,Blue,Grey interior,Cloth interior,Cargo VAN,4/5 doors,5.0,Diesel,Manual,4x2,75,110,Euro 6d-TEMP,145000,9/2019,Used,4.2,13099,Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Voice control; Navigation system; Traffic sign recognition; Bluetooth; Rain sensor; Light sensor,1499.0,1.0
opel combo,Opel,Combo,Grey,Grey interior,Other interior material,Cargo VAN,4/5 doors,5.0,Petrol,Automatic,4x2,96,119,Euro 6d,6000,11/2022,Used,5.2,36849,Parking assist system self-steering; Heated front seats; Head-up display; Keyless ignition; Voice control; Navigation system; Heated steering wheel; Traffic sign recognition; Bluetooth; High beam assist,1199.0,1.0
subaru solterra,Subaru,Solterra,Blue,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,Electric,Automatic,4x4,160,0,No emission class,17500,6/2022,Demonstration car,0.0,52299,LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Harman/Kardon audio; Heated front seats; Android auto; Keyless ignition; Panoramic roof; Navigation system,1499.0,0.0
renault captur,Renault,Captur,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Manual,4x2,74,116,Euro 6,11753,9/2020,Used,5.1,17399,Navigation system,999.0,0.0
dacia duster,Dacia,Duster,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Manual,4x2,96,141,Euro 6,5996,3/2023,Used,5.9,22449,Navigation system; Rear parking camera; Automatic A/C; Automatic lights; Rain sensor; Blind spot assist; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights,1332.0,1.0
renault koleos,Renault,Koleos,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,Diesel,Automatic,4x4,135,175,Euro 6d-TEMP,15,12/2023,New,6.7,49549,Driver's seat with massage function; Ventilated front seats; Parking assist system self-steering; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto,1997.0,0.0
peugeot 208,Peugeot,208,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Manual,4x2,81,106,Euro 6,46739,6/2018,Used,4.4,14399,Rear parking camera,1199.0,0.0
audi a4,Audi,A4,Blue,Grey interior,Cloth interior,Sedans / saloons,4/5 doors,5.0,Petrol,Automatic,4x2,150,129,Euro 6d,20,9/2023,New,5.6,43549,LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Navigation system,1984.0,0.0
volkswagen id.5,Volkswagen,ID.5,White,Other interior color,Other interior material,SUV / offroad,4/5 doors,5.0,Electric,Automatic,4x2,128,0,No emission class,4000,6/2022,Used,17.6,63249,LED headlights; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Navigation system; Automatic A/C; Lane assist; Parking sensors,1499.0,0.0
audi q3,Audi,Q3,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x2,110,135,Euro 6,5,1/2023,New,6.5,45549,LED headlights; Digital cockpit; Navigation system; Bluetooth; Automatic A/C; High beam assist; Side mirrors with electic adjustment; Daytime running lights; Alarm; Start-stop system,1498.0,0.0
volkswagen touareg,Volkswagen,Touareg,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,Diesel,Automatic,4x4,210,184,Euro 6d-TEMP,57165,4/2019,Used,8.2,53099,Heated rear seats; Air suspension; Parking assist system self-steering; LED headlights; Keyless entry; Front seats with memory; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display,2967.0,2.0
renault scenic,Renault,Scenic,White,Black interior,Cloth interior,MPV,4/5 doors,5.0,Diesel,Manual,4x2,88,127,Euro 6,60116,6/2020,Used,4.8,17949,Keyless ignition; Automatic multi-zone A/C; Voice control; Navigation system; Glare-free high beam headlights; Traffic sign recognition; Automatic lights; Rain sensor; Lane assist; Hill-start assist,1749.0,1.0
suzuki ignis,Suzuki,Ignis,Green,Other interior color,Other interior material,SUV / offroad,4/5 doors,4.0,Hybrid,Manual,4x2,61,89,Euro 6,31000,9/2020,Used,3.9,15599,Bluetooth; Alloy wheels,1197.0,0.0
mercedes-benz gle-400,Mercedes-Benz,GLE 400,White,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,Diesel,Automatic,4x4,243,199,Euro 6d,83108,12/2019,Used,8.7,69049,Driver's seat with massage function; Ventilated front seats; Heated rear seats; Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control,2925.0,0.0
subaru solterra,Subaru,Solterra,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Electric,Automatic,4x4,160,0,Euro 6,1,1/2023,New,0.0,60649,Harman/Kardon audio,1499.0,0.0
volvo xc40,Volvo,XC40,Red,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Diesel,Automatic,4x2,110,131,Euro 6,49699,12/2018,Used,5.0,28299,Voice control; Traffic sign recognition; Rear parking camera; Adaptive lighting; Automatic A/C; Rain sensor; Lane assist; Hill-start assist; Front collision warning system; Autom. dimming side mirros,1969.0,1.0
porsche macan,Porsche,Macan,Black,Black interior,Part leather interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x4,180,185,Euro 6d-TEMP,39000,5/2019,Used,8.1,63749,LED headlights; Electric adjustable front seats; Heated front seats; Panoramic roof; Navigation system; Paddle shifters; Bluetooth; Automatic A/C; Rain sensor; Light sensor,1984.0,0.0
peugeot 308,Peugeot,308,Grey,Other interior color,Other interior material,Station Wagon,4/5 doors,5.0,Petrol,Automatic,4x2,96,131,No emission class,1,8/2023,New,5.8,32699,LED headlights; Digital cockpit; Keyless entry; Heated front seats; Smartphone mirroring; Apple CarPlay; Android auto; Keyless ignition; Navigation system; Traffic sign recognition,1199.0,0.0
opel combo,Opel,Combo,White,Brown interior,Cloth interior,Cargo VAN,4/5 doors,5.0,Petrol,Manual,4x2,81,125,Euro 6d-TEMP,25851,9/2019,Used,5.5,21499,Heated front seats; Panoramic roof; Navigation system; Heated steering wheel; Traffic sign recognition; Automatic 2-zones air conditioning; High beam assist; Rain sensor; Light sensor; Lane assist,1199.0,0.0
smart fortwo,Smart,ForTwo,White,Black interior,Cloth interior,Hatchback,2/3 doors,2.0,Petrol,Automatic,4x2,66,97,Euro 6,69998,9/2017,Used,4.2,13749,LED headlights; Heated front seats; Integrated music streaming; Voice control; Navigation system; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Hill-start assist,898.0,2.0
mazda cx-3,Mazda,CX-3,White,Other interior color,Other interior material,SUV / offroad,4/5 doors,5.0,Petrol,Manual,4x2,89,141,No emission class,48000,2/2019,Used,6.2,20049,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control,2000.0,0.0
peugeot 208,Peugeot,208,White,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Manual,4x2,50,108,Euro 6,124260,12/2016,Used,4.6,9849,On-board computer; USB; AUX; Front electric windows,1199.0,0.0
audi a3,Audi,A3,White,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5.0,Petrol,Automatic,4x2,110,115,Euro 6d-TEMP,15,9/2023,New,5.6,36599,LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Navigation system; Paddle shifters; Bluetooth,1498.0,0.0
citroen c4-x,Citroen,C4 X,Black,Black interior,Other interior material,SUV / offroad,4/5 doors,5.0,Diesel,Automatic,4x2,96,0,Euro 6,0,9/2023,New,0.0,24749,Side mirrors with electic adjustment; Leather steering wheel,1499.0,0.0
lexus nx-300,Lexus,NX 300,Blue,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Hybrid,Automatic,4x2,145,128,Euro 6,16897,12/2020,Used,5.8,39699,Adaptive cruise control; Keyless ignition; Automatic multi-zone A/C; Voice control; Navigation system; Paddle shifters; Traffic sign recognition; Rear parking camera; Adaptive lighting; Automatic lights,2494.0,0.0
mercedes-benz e-250,Mercedes-Benz,E 250,White,Black interior,Alcantara interior,Station Wagon,4/5 doors,5.0,Petrol,Automatic,4x2,155,138,Euro 6,115000,1/2017,Used,6.2,27849,Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Electric adjustable front seats; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system,1991.0,0.0
fiat 500,Fiat,500,Grey,Grey interior,Cloth interior,Hatchback,2/3 doors,4.0,Electric,Automatic,4x2,70,0,No emission class,19000,7/2021,Used,0.0,23099,LED headlights; Digital cockpit; Keyless entry; Apple CarPlay; Android auto; Keyless ignition; Panoramic roof; Voice control; Navigation system; Bluetooth,1499.0,0.0
tesla model-y,Tesla,Model Y,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,Electric,Automatic,4x4,393,0,No emission class,13500,9/2022,Used,17.1,58099,LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; WLAN/Wifi hotspot; Integrated music streaming; Keyless ignition; Panoramic roof,1499.0,0.0
kia ev9,Kia,EV9,Green,Other interior color,Other interior material,SUV / offroad,4/5 doors,7.0,Electric,Automatic,4x4,283,0,No emission class,10,11/2023,Used,0.0,82299,Ventilated front seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay,1499.0,0.0
opel combo,Opel,Combo,Blue,Other interior color,Cloth interior,Cargo VAN,4/5 doors,5.0,Petrol,Automatic,4x2,96,119,Euro 6d,16223,12/2021,Used,5.2,32599,Apple CarPlay; Android auto; Keyless ignition; Voice control; Paddle shifters; Traffic sign recognition; Bluetooth; Automatic 2-zones air conditioning; High beam assist; Rain sensor,1199.0,1.0
renault master,Renault,Master,White,Black interior,Cloth interior,Cargo VAN,4/5 doors,3.0,Diesel,Manual,4x2,120,225,Euro 6d-TEMP,12705,2/2022,Used,8.6,33149,Navigation system; Bluetooth; Rain sensor; Light sensor; Daytime running lights; On-board computer; Start-stop system; USB; Front electric windows,2299.0,1.0
bmw m4,BMW,M4,Grey,Black interior,Cloth interior,Coupe,2/3 doors,4.0,Petrol,Automatic,4x2,317,197,Euro 6,70153,3/2015,Used,8.4,57399,Harman/Kardon audio; Blind spot assist,2979.0,0.0
audi q4,Audi,Q4,Black,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5.0,Electric,Manual,4x4,195,0,No emission class,3500,9/2023,Used,0.0,72699,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Head-up display; Keyless ignition; Navigation system; El. tailgate,1499.0,0.0
chevrolet camaro,Chevrolet,Camaro,Black,Other interior color,Full leather interior,Coupe,2/3 doors,4.0,Petrol,Automatic,4x2,233,304,Euro 5,164000,1/2011,Used,13.1,17949,Electric adjustable front seats; Heated front seats; Bluetooth; Xenon headlights; Sport-suspension system; Leather; Automatic A/C; Light sensor; Side mirrors with electic adjustment; Daytime running lights,3600.0,0.0
volkswagen polo,Volkswagen,Polo,Black,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5.0,Petrol,Automatic,4x2,70,109,Euro 6d-TEMP,45072,1/2020,Used,4.8,17299,Digital cockpit; Keyless entry; Heated front seats; Smartphone mirroring; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Keyless ignition; Navigation system,999.0,2.0
ford fiesta,Ford,Fiesta,Blue,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Manual,4x2,55,102,No emission class,16900,3/2020,Used,5.3,17899,Side mirrors with electic adjustment; On-board computer; Start-stop system; Front electric windows; Fixed trailer coupling,1084.0,0.0
kia optima,Kia,Optima,Black,Black interior,Full leather interior,Station Wagon,4/5 doors,5.0,Diesel,Automatic,4x2,104,120,Euro 6,116340,2/2017,Used,4.5,17199,Heated rear seats; LED headlights; Electric adjustable front seats; Adaptive cruise control; Harman/Kardon audio; Heated front seats; Smartphone mirroring; Apple CarPlay; Android auto; Panoramic roof,1685.0,0.0
