CARNAME,Make,Model,Body color,Interior color,Interior material,Body,Doors,Seats,Fuel,Transmission,Drive type,Power(kW),CO2 emissions(g/km),Emission class,Mileage(km),First registration,Condition,Consumption(l/100km or kWh/100km),Price(EUR),Tags,Engine capacity(ccm),Previous owners
jeep gladiator,Jeep,Gladiator,Blue,Black interior,Full leather interior,Pick-up,4/5 doors,5.0,Petrol,Automatic,4x4,213,0,Euro 6,68320,10/2021,Used,5.5,56349,LED headlights; Keyless entry; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Keyless ignition; Voice control; Navigation system,3604.0,1.0
volvo xc90,Volvo,XC90,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,Diesel,Automatic,4x4,173,154,Euro 6d-TEMP,47433,12/2020,Used,5.9,50999,Parking assist system self-steering; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Keyless ignition,1969.0,2.0
mercedes-benz c-200,Mercedes-Benz,C 200,Silver,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5.0,Diesel,Manual,4x2,100,135,Euro 6,64590,5/2016,Used,5.9,18949,Electric adjustable front seats; Navigation system; Bluetooth; Automatic A/C; Light sensor; Hill-start assist; Parking sensors; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights,1598.0,3.0
mercedes-benz c-300,Mercedes-Benz,C 300,Silver,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5.0,Diesel,Automatic,4x2,210,138,Euro 6d-TEMP,5000,12/2022,Used,5.5,56299,LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Panoramic roof; Voice control,1993.0,1.0
mazda 3,Mazda,3,Red,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5.0,Hybrid,Manual,4x2,132,102,Euro 6d,16400,12/2020,Used,4.5,27849,LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Bose audio; Heated front seats; Head-up display; Apple CarPlay; Android auto,1998.0,1.0
mazda mx-5,Mazda,MX-5,Grey,Brown interior,Cloth interior,Cabriolet,2/3 doors,2.0,Petrol,Manual,4x2,135,156,Euro 6,99,10/2023,Demonstration car,6.9,37349,LED headlights; Digital cockpit; Bose audio; Heated front seats; Apple CarPlay; Android auto; Voice control; Navigation system; Heated steering wheel; Rear cross traffic alert (RCTA),1998.0,1.0
dacia sandero,Dacia,Sandero,White,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Manual,4x2,67,127,Euro 6d,10,10/2023,New,5.6,19399,LED headlights; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Bluetooth; Automatic A/C; Rain sensor; Light sensor,999.0,0.0
bmw x2,BMW,X2,White,Other interior color,Part leather interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x4,131,0,Euro 6d,8500,8/2022,Used,5.5,38399,LED headlights; Heated front seats; Head-up display; WLAN/Wifi hotspot; Integrated music streaming; Panoramic roof; Navigation system; El. tailgate; Sport front seats; Traffic sign recognition,1998.0,1.0
bmw x3,BMW,X3,Grey,Black interior,Part leather interior,SUV / offroad,4/5 doors,5.0,Diesel,Manual,4x4,140,142,Euro 6,117000,9/2015,Used,5.4,20049,Heated front seats; Integrated music streaming; Panoramic roof; El. tailgate; Sport front seats; Bi-xenon headlights; Bluetooth; Automatic 2-zones air conditioning; Light sensor; Parking sensors,1995.0,2.0
mercedes-benz e-300,Mercedes-Benz,E 300,White,Brown interior,Part leather interior,Station Wagon,4/5 doors,5.0,Diesel,Automatic,4x2,180,147,Euro 6d-TEMP,84867,2/2020,Used,6.4,37199,Air suspension; Parking assist system self-steering; LED headlights; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control,1950.0,1.0
volkswagen t6-transporter,Volkswagen,T6 Transporter,Grey,Black interior,Cloth interior,Cargo VAN,4/5 doors,5.0,Diesel,Automatic,4x2,110,165,Euro 6,120000,8/2019,Used,6.3,30999,Heated front seats; Navigation system; Bluetooth; Parking sensors; Side mirrors with electic adjustment; Daytime running lights; On-board computer; Start-stop system; CD player; USB,1968.0,2.0
